"jobtitle","company","location","longitude","latitude","salary","companysize","companyrating","summary"
"Data Scientist/Quantitative Analyst, Engineering","Google","San Francisco, CA",nan,nan,"NA",nan,52.8,"NA"
"Data Scientist","Travelport","Denver, CO",nan,nan,"NA",75,44.4,"NA"
"Data Scientist","Dropbox","San Francisco, CA",nan,nan,"NA",15,44.4,"NA"
"Data Scientist","Express","Columbus, OH",nan,nan,"NA",997,43.2,"NA"
"Machine Learning Engineer (Associate) - Intelligent Solution...","JP Morgan Chase","New York, NY 10001 (Chelsea area)",nan,nan,"NA",nan,44.4,"NA"
"Data Scientist","Macy's","New York, NY",nan,nan,"NA",nan,43.2,"NA"
"Data Scientist","AIM","San Francisco, CA",nan,nan,"$180,000 a year",53,51.6,"NA"
"Data Scientist","Tenor","San Francisco, CA",nan,nan,"NA",3,55.2,"NA"
"Junior Data Scientist","Phosphorus","New York, NY",nan,nan,"NA",nan,nan,"NA"
"Data Scientist (Associate) - Intelligent Solutions","JP Morgan Chase","New York, NY 10001 (Chelsea area)",nan,nan,"NA",nan,44.4,"NA"
"Junior Data Scientist/Data Scientist","Penguin Random House","New York, NY 10019 (Midtown area)",nan,nan,"NA",195,51.6,"NA"
"Data Scientist","Akraya Inc.","Mountain View, CA",nan,nan,"$85 - $110 an hour",nan,nan,"NA"
"Data Scientist, Analytics, University Grad","Facebook","Menlo Park, CA",nan,nan,"NA",185,52.2,"The Analytics team is looking for fast-moving analytics candidates and data junkies who want to make an impact...."
"Data Scientist","Twitter","San Francisco, CA 94103 (South Of Market area)",nan,nan,"NA",39,51.6,"Our team optimizes the ad delivery engine, manages demand/supply, and improves product outcomes by applying data science and machine learning skills...."
"Data Scientist","Illinois Mathematics and Science Academy","Aurora, IL 60506",nan,nan,"NA",7,31.2,"Four years of relevant work experience (e.g., as a statistician / computational biologist / bioinformatician / data scientist), including deep expertise and..."
"Data Scientist","bnchmrk","Edgewater, NJ",nan,nan,"NA",nan,nan,"This Data Scientist will need to have a background in either employee benefits consulting, econometrics, physics, biostatistics, computer science, applied..."
"Data Science Analyst I","xentity corporation","Denver, CO",nan,nan,"NA",2,60.0,"We are looking for data analysts, data wranglers, data scientists with excellent leadership, technical, and subject matter expertise qualities...."
"Data Scientist","Rakuten Marketing","San Mateo, CA",nan,nan,"NA",3,51.0,"Apply machine learning, deep learning algorithm to big data sets. Manage, process, and analyze large amounts of data to support algorithm development and..."
"Data Scientist","Expedia","Bellevue, WA 98004 (Downtown area)",nan,nan,"NA",427,51.0,"Expedia has deep and rich data sets, many still untapped, and your real passion for the craft of statistics and machine learning has the power to unlock..."
"DATA ANALYST/SCIENTIST","Hawes Group","Vancouver, WA",nan,nan,"NA",nan,nan,"2+ years real experience with a scripting or analytics language (Python, R, Matlab, etc.). We are building advanced machine learning capabilities in many areas,..."
"Data Scientist - I, II, Lead","Federal Reserve Bank of Cleveland","Cleveland, OH 44114 (Downtown area)",nan,nan,"NA",17,43.8,"Experience in data mining, artificial intelligence, machine learning, and/or other emerging fields is preferred. Data Scientist - I, II, Lead...."
"Data Science Intern","Operr Technologies","Flushing, NY",nan,nan,"NA",nan,nan,"Pursuing a MSc/PhD in a quantitative in applied mathematics, computer science, engineering, physics, operations research, Econometrics, Stochastic finance, or..."
"Data Scientist","University of Utah","Salt Lake City, UT",nan,nan,"$75,900 - $130,000 a year",313,52.8,"Interprets results from multiple sources using a variety of techniques, ranging from structured data extraction to complex data mining from clinical notes...."
"Data Scientist","DL Recruiting Partners","Remote",nan,nan,"NA",nan,nan,"Develop visualization, machine learning, optimization and statistical inference solutions using very large scale proprietary and public data sets in health care..."
"Data Scientist","MachineZone","Palo Alto, CA",nan,nan,"NA",nan,nan,"Solid understanding of statistical modeling / predictive analysis/ machine learning / data mining / recommender system concepts...."
"Analyst/R Programmer/Data Scientist","Frank N. Magid Associates, Inc.","Los Angeles, CA",nan,nan,"NA",nan,nan,"NA"
"Clinical Data Scientist","Medtronic","Chanhassen, MN",nan,nan,"NA",nan,51.0,"NA"
"Data Scientist","Classy","San Diego, CA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Affinitiv","Calabasas, CA",nan,nan,"NA",2,30.0,"To be successful in this role you need to be passionate about data analytics, be a fast learner, and have a strong interest in data and technology...."
"Data Scientist","BuzzFeed","New York, NY",nan,nan,"NA",7,44.4,"Experience in applying Machine Learning, Predictive Analytics, and Classification techniques towards real product and business problems...."
"Database & Statistical Analyst","University of California - Irvine","Orange, CA",nan,nan,"$5,592 - $7,787 a month",129,53.4,"Database management and administration, meta-data integration, development of wrappers and software to ingest heterogeneous data formats into project databases,..."
"Junior Data Scientist","Macmillan","New York, NY 10010 (Gramercy area)",nan,nan,"NA",41,51.0,"Creating automated legacy system data reconciliation processes, transforming SAP data exports, and improving data load template processes...."
"Data Scientist (Full Time) - United States","Cisco","San Jose, CA",nan,nan,"NA",nan,51.6,"NA"
"Data Scientist","Bluestar Technology","St. Louis, MO",nan,nan,"NA",nan,nan,"Establish and maintain consistent global data definitions, ensure integrity of data and monitoring overall quality of data per established policies;..."
"Data Analysis Internship","Lab 916","Sacramento, CA",nan,nan,"$12 an hour",nan,nan,"Creating daily KPI reporting and marketing analytics. Lab 916 is a startup digital marketing agency located in downtown Sacramento with two open PAID..."
"DATA SCIENTIST","Pantar Solutions","Los Angeles, CA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Ativa Medical","Saint Paul, MN 55114 (Saint Anthony area)",nan,nan,"NA",nan,nan,"Collaborate with product managers, data scientists and engineers, gather requirements and deliver complete analytics/reporting solutions...."
"Data Analyst","CBTS","Cincinnati, OH",nan,nan,"NA",20,44.4,"Proven success as a multi-disciplinary team member, partnering with program managers, data scientists, and IT support functions to achieve business goals...."
"Data Scientist","TechMahindra","Irving, TX 75038",nan,nan,"NA",nan,nan,"NA"
"Data Scientist (Product)","Spotify","New York, NY 10011 (Chelsea area)",nan,nan,"NA",26,53.4,"As a Data Scientist, our mission is to turn terabytes of data into insights and get a deep understanding of how our people use our apps to impact the product,..."
"Data Scientist","Square","San Francisco, CA 94103 (South Of Market area)",nan,nan,"NA",28,44.4,"NA"
"Scientist, Data Sciences","Johnson & Johnson Family of Companies","Spring House, PA",nan,nan,"NA",nan,52.8,"NA"
"Data Scientist","Houston Methodist","Houston, TX",nan,nan,"NA",789,52.2,"NA"
"Data Sciencist Junior","Plastic Omnium","Greer, SC",nan,nan,"NA",154,43.8,"NA"
"Data Scientist","IgnitionOne","Atlanta, GA",nan,nan,"NA",10,41.4,"NA"
"Data Scientist, Entry Level - Applied Natural Language Proce...","Pacific Northwest National Laboratory","Seattle, WA",nan,nan,"NA",60,51.6,"NA"
"Data Science Internship Fall 2017","Crisis Text Line","New York, NY",nan,nan,"NA",24,56.4,"NA"
"Data Scientist","PDDN Inc","San Mateo, CA",nan,nan,"$60 an hour",nan,nan,"NA"
"Data Science Intern","CuraCloud Corporation","Seattle, WA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Uptake","Chicago, IL",nan,nan,"NA",nan,nan,"NA"
"Junior Data Scientist","The Boston Consulting Group","New York, NY 10022 (Midtown area)",nan,nan,"NA",141,52.2,"Understand business research challenges, translate them into data mining problems, collect and clean appropriate data, and use rigorous data science to extract..."
"Data Scientist","Schlumberger","Houston, TX",nan,nan,"NA",nan,51.6,"Successful Data Scientists can lead analytic teams, are familiar with statistical and machine learning algorithms including classification, and have good..."
"Data Scientist","Ookla","Seattle, WA",nan,nan,"NA",nan,nan,"Providing thoughtful analytics and data driven support for the business including data quality assurance, exploratory analysis, and data preparation or..."
"Data Analyst","Autoloop LLC","Clearwater, FL",nan,nan,"NA",nan,nan,"Data Analysts coordinate across internal team members in Analytics Insights, Marketing, and Business Analysts/Engineering to compile data sets for analysis and..."
"Junior Data Scientist","CGI","Washington, DC",nan,nan,"NA",nan,43.2,"NA"
"Data Scientist, Junior","Booz Allen Hamilton","San Diego, CA 92108",nan,nan,"NA",nan,44.4,"Experience with deep learning, machine learning, computer vision, natural language processing, and predictive analytics. Data Scientist, Junior...."
"Data Scientist","Volkswagen Group of America, Inc.","Auburn Hills, MI",nan,nan,"NA",nan,51.6,"The primary role of the Data Scientist position is to identify quality trends in warranty data using text mining software and create data models using analytics..."
"Data Scientist","Creospan Solutions","Northbrook, IL",nan,nan,"$80 - $100 an hour",nan,nan,"This includes development and execution of machine learning predictive modeling algorithms, the coding/development of tools that use machine learning/predictive..."
"Data Scientist","Piper Companies","Raleigh, NC 27607 (Northwest area)",nan,nan,"$90,000 - $120,000 a year",nan,nan,"NA"
"Research Scientist, Google Brain (United States)","Google","New York, NY 10011 (Chelsea area)",nan,nan,"NA",nan,52.8,"NA"
"Data Scientist","EPS, LLC","Park City, UT",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Tangentia","Minneapolis, MN",nan,nan,"NA",nan,nan,"NA"
"Artificial Intelligence (AI)/ Machine Learning (ML) IT Resea...","UBS","Weehawken, NJ",nan,nan,"NA",nan,44.4,"NA"
"Data Scientist Intern","First Orion","Little Rock, AR",nan,nan,"NA",nan,nan,"NA"
"Data Scientist Intern","Amazon Corporate LLC","Seattle, WA",nan,nan,"NA",nan,43.2,"NA"
"Data Analyst; Applecart Advocacy","Applecart","New York, NY",nan,nan,"NA",2,39.0,"NA"
"Data Scientist","W.D. Von Gonten Laboratories, LLC","Houston, TX",nan,nan,"NA",nan,nan,"NA"
"Freelance Data Scientist","Fractl","Remote",nan,nan,"NA",5,52.2,"NA"
"Data Scientist, Engineering Support Analytics, Google Cloud","Google","Mountain View, CA",nan,nan,"NA",nan,52.8,"NA"
"Data Scientist","University of Chicago","Chicago, IL",nan,nan,"NA",284,52.8,"NA"
"Associate Data Scientist","Walmart","Bentonville, AR 72712",nan,nan,"NA",nan,42.6,"NA"
"Data Scientist","6sense","San Francisco, CA",nan,nan,"NA",nan,nan,"NA"
"Consumer Data Scientist","NIKE INC","Beaverton, OR",nan,nan,"NA",nan,52.2,"NA"
"Data Scientist - REMOTE","PTP","Gold River, CA",nan,nan,"NA",5,42.6,"NA"
"Data Scientist","SpecTIR","Springfield, VA",nan,nan,"NA",nan,nan,"NA"
"Associate Data Scientist","Zurich North America","Schaumburg, IL 60173",nan,nan,"NA",508,43.2,"NA"
"Predictive Analytics/Data Scientist","Country Financial","Middletown, CT",nan,nan,"NA",202,43.8,"NA"
"Data Scientist","Massachusetts General Hospital(MGH)","Boston, MA",nan,nan,"NA",591,53.4,"NA"
"Quantitative Analyst","Prattle Analytics","St. Louis, MO",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Beam Interactive","Boston, MA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Shutterfly","Redwood City, CA",nan,nan,"NA",271,43.8,"NA"
"Computer Vision Scientist (AR) / AI and Big Data Team","Intellipro Group Inc.","Santa Clara, CA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Samsung Pay","Mountain View, CA 94043",nan,nan,"NA",nan,51.0,"NA"
"Data Science Analyst","Aetna","Hartford, CT 06156",nan,nan,"NA",nan,43.8,"NA"
"Data Scientist Advanced Analytics","The Hershey Company","Hershey, PA",nan,nan,"NA",400,44.4,"NA"
"Data Scientist","Corning","Corning, NY 14830",nan,nan,"NA",299,51.0,"This candidate will be responsible for gathering existing data and/or generating new data to solve technical, business or project related problems...."
"Data Scientist","Analytical Mechanics Associates, Inc.","Plano, TX 75024",nan,nan,"NA",nan,nan,"The Data Scientist will identify available and relevant data by collaborating with subject matter experts to select the relevant source data and, using the..."
"Data Scientist","Autolist","San Francisco, CA",nan,nan,"NA",nan,nan,"We're looking for a well-rounded data scientist with both statistical and engineering skills to apply machine learning and other statistical methods to our..."
"Data Scientist","BAE Systems, Inc","Washington, DC 20535 (Downtown area)",nan,nan,"NA",nan,nan,"Work with data scientists to coordinate multifaceted scientific research and analytic activities that provides scientific and technical consultation...."
"Data Scientist","Fanatics Inc.","San Mateo, CA",nan,nan,"NA",245,43.2,"Experience developing machine learning, NLP and statistical models for real-world problems using ML algorithms/packages, R, Python or other machine learning..."
"Junior Data Scientist, Marketing","McKinsey & Company","San Francisco, CA",nan,nan,"NA",273,52.8,"Our Consumer Marketing Analytics Center helps clients transform their marketing and sales by applying advanced analytics to generate value-creating insights..."
"Junior Quantitative Developer - Data Analysis","Akuna Capital","Chicago, IL 60603 (Loop area)",nan,nan,"NA",3,51.0,"Demonstrated experience with data analysis, either on a personal, school, or research project. Quantitative Developers on our Data Analysis teams are..."
"Data Scientist","FocusKPI Inc.","Mountain View, CA",nan,nan,"NA",nan,nan,"Familiar with statistical and machine learning skills with at least one of the programing tools (e.g, SAS, Python, R or other similar ones)...."
"Product Analyst, Data Science","Google","San Bruno, CA",nan,nan,"NA",nan,52.8,"Deep interest and aptitude in data, metrics, analysis and trends and applied knowledge of measurement, statistics and program evaluation...."
"Data Scientist","Vanda Pharmaceuticals Inc.","Washington, DC 20037 (Foggy Bottom area)",nan,nan,"NA",nan,nan,"NA"
"Associate Data Scientist","Nuna","San Francisco, CA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Hewlett Packard Enterprise","Santa Clara, CA",nan,nan,"NA",nan,43.8,"NA"
"Data Scientist","Silo","California",nan,nan,"NA",12,52.8,"NA"
"Quantitative Research Strats Analyst","Goldman Sachs","New York, NY 10282 (Tribeca area)",nan,nan,"NA",873,51.6,"NA"
"Data Scientist","OutMatch","Dallas, TX 75251 (North Dallas area)",nan,nan,"NA",nan,nan,"NA"
"Data Analyst / Data Scientist","Defined Clarity","Philadelphia, PA 19123 (Poplar-Ludlow-Yorktowne area)",nan,nan,"$65 - $75 an hour",nan,nan,"NA"
"Data Scientist","Park Computer Systems, Inc.","Carlsbad, CA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist, Content","Spotify","New York, NY 10011 (Chelsea area)",nan,nan,"NA",26,53.4,"NA"
"Data Science Assistant","Byte Academy","New York, NY",nan,nan,"NA",nan,nan,"You will work closely with our Data Scientist and Lead of Career Services to automate and analyze student data. Data acquisition and entry...."
"NA","Samsung Research America","Mountain View, CA 94043",nan,nan,"NA",nan,51.0,"Working knowledge of big data tools and data pipelines. Come join the Samsung Pay Data Science team and enjoy building state-of-the-art data solutions!..."
"Data Scientist","Ford Motor Company","Dearborn, MI 48121",nan,nan,"NA",nan,52.8,"Problem formulation and design of solution Harvesting of data from multiple systems globally Collaborating with Analytics and IT teams to transforming the data..."
"Data Scientist","Pluralsight","Boston, MA",nan,nan,"NA",3,60.0,"Ideally a minimum of 3 years in a data science role, applying statistics and machine learning theories and techniques to business problems...."
"Data Science Specialist","General Electric","San Ramon, CA 94583",nan,nan,"NA",nan,51.6,"Work in technical teams in development, deployment, and application of applied analytics, predictive analytics, and prescriptive analytics...."
"Data Scientist","CSRA","Washington, DC",nan,nan,"NA",152,41.4,"Review and improve existing predictive models Profiling and analyzing source system data to determine data relationships, design constructs, consistency and..."
"Data Scientist","Coverent","McLean, VA",nan,nan,"NA",nan,nan,"Coverent is seeking a data scientist to lead quantitative research and program evaluation activities as part of a multidisciplinary, mission-focused data..."
"Data Scientist","Engineering Technology Associates, Inc.","Troy, MI 48083",nan,nan,"NA",4,55.8,"In this role, you will support the development of optimization models by assembling data from a variety of sources as a member of the Advanced Operational..."
"Data Scientist","Ivory Systems","Cambridge, MA",nan,nan,"NA",nan,nan,"Develop, enhance, and automate scientific data capturing, processing, data ingestion and analysis. Create test end-to-end integration strategies with existing ..."
"Data Scientist","LexisNexis","Raleigh, NC",nan,nan,"NA",546,43.8,"Mine data for insights. Experience with Elasticsearch, Tag Managers, Google Analytics (or similar analytics packages)...."
"Data Scientist","Oak Ridge Associated Universities","Washington, DC",nan,nan,"NA",20,43.8,"The ideal candidate will be experienced in data compilation and statistical analysis, and knowledgeable of web scraping, machine learning, and data mining..."
"Data Scientist","TrueCar, Inc.","Santa Monica, CA",nan,nan,"NA",9,40.2,"Right now, we are looking for a Data Scientist who will have the freedom to utilize the latest technologies to solve challenging problems, create innovative..."
"Data Scientist","Navstar, Inc.","Reston, VA 20191",nan,nan,"NA",2,60.0,"Machine learning, statistics, clustering, math, python, perl, R language, R Studio. The qualified candidate will research and incorporate data science tools,..."
"Data Scientist - Full time Position","Priserve Consulting","Hoboken, NJ",nan,nan,"NA",2,54.0,"Proven record of large-scale data analysis. Define product requirements for analytics and provide feedback to the product team on ways in which product may be..."
"Data Scientist","JW Player","New York, NY 10018 (Clinton area)",nan,nan,"NA",3,43.2,"Provide expertise on machine learning concepts for the broader Data team and inspire the adoption of data science across the entire breadth of our organization...."
"Data Scientist","CreativeLive","San Francisco, CA 94107 (South Of Market area)",nan,nan,"NA",nan,nan,"SQL, R, SPSS, SAS, Excel, Tableau and with at least 1 scripting language (e.g. 4+ years of demonstrated success in data or product analytics, preferably in a..."
"Data Scientist","CGI","Fairfax, VA",nan,nan,"NA",nan,43.2,"Your primary focus will be in applying machine learning and data mining techniques, doing statistical analysis, and building high quality analytic systems -..."
"Data Scientist","Coyote Logistics","Chicago, IL 60647 (Logan Square area)",nan,nan,"NA",97,43.2,"The Data Scientist will be responsible for conducting statistical analysis, developing methodologies. 2+ years of experience in machine learning and predictive..."
"Data Scientist","Kogentix","Schaumburg, IL 60173",nan,nan,"NA",2,51.0,"5+ years of industrial or academic data-mining / analytics experience including applied techniques in data mining, machine learning, or graph mining using R,..."
"Associate Data Scientist","Genomatica, Inc.","San Diego, CA",nan,nan,"NA",nan,nan,"Associate Data Scientist - Req. Develop custom software solutions from one-off scripts to enterprise applications to facilitate, optimize, and automate data..."
"Data Scientist","Honor","San Francisco, CA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","CATCH Intelligence","Topeka, KS",nan,nan,"NA",nan,nan,"Reports to the Manager of Operational Analytics, candidate utilizes skills in data preparation, statistics, predictive modeling and machine learning to promote..."
"Data Scientist","MDA Information Systems LLC","Springfield, VA",nan,nan,"NA",nan,nan,"Investigate and implement new scientific analysis and methodologies to support big data analytics efforts and stay current with evolving technologies and..."
"Data Scientist","Trident Technical Solutions, LLC","Washington, DC",nan,nan,"NA",nan,nan,"Perform analysis of all data into, out of and within the ITA, as needed.Identify and quantify data issues within the organization and assist in the development..."
"Data Scientist","Entergy","The Woodlands, TX",nan,nan,"NA",280,44.4,"Be a thought-leader at Entergy for analytic issues and assist with developing and guiding citizen data scientists throughout various Entergy business units...."
"Data Scientist","National Geospatial-Intelligence Agency","St. Louis, MO",nan,nan,"NA",nan,nan,"Data Management, Data Engineering, Data Science, Computer Science, Software Engineering, Statistics, Applied Mathematics, Applied Physics, Econometrics, UX/UI..."
"Associate Data Scientist","USAA","San Antonio, TX",nan,nan,"NA",961,51.6,"Applies predictive analytics, machine learning, simulation, and optimization techniques to generate management insights and enable customer-facing applications;..."
"Data Scientist","Levi Strauss & Co.","San Francisco, CA 94111 (Financial District area)",nan,nan,"NA",nan,44.4,"NA"
"Data Scientist","Newsela","New York, NY",nan,nan,"NA",6,52.8,"NA"
"Health Scientist (Informatics)","Centers for Disease Control and Prevention","Atlanta, GA",nan,nan,"$106,380 - $138,296 a year",90,53.4,"Specialized experience is experience at or equivalent to which is directly related to the position which has equipped the applicant with the particular..."
"Data Scientist, Machine Learning","Human Longevity","Mountain View, CA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Sonos, Inc","Santa Barbara, CA",nan,nan,"NA",4,43.8,"NA"
"Data Scientist","Redfin","Seattle, WA",nan,nan,"NA",23,42.0,"NA"
"Data Scientist","The Johns Hopkins Applied Physics Laboratory","Laurel, MD",nan,nan,"NA",40,51.0,"NA"
"Data Scientist","Petrosoft, Inc.","Pittsburgh, PA 15220",nan,nan,"NA",8,28.8,"NA"
"Data Analyst Interns - Fall 2017","Tilting Point","New York, NY",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Southern New Hampshire University","Manchester, NH",nan,nan,"NA",110,51.6,"NA"
"Data Scientist","XPO Logistics","Charlotte, NC 28277 (Piper Glen Estates area)",nan,nan,"NA",nan,40.8,"NA"
"Junior Research Analyst","Bank of America","New York, NY 10036",nan,nan,"NA",nan,44.4,"Job Description: Description: We are looking to add a junior research analyst position on our highly-ranked Packaging, Paper, Forest & Building Products"
"Data Scientist","Transdev","Tempe, AZ 85282 (Cyprus Southwest area)",nan,nan,"NA",485,42.0,"NA"
"Data Scientist (Internship)","Upstart","San Carlos, CA",nan,nan,"NA",3,51.0,"NA"
"Data Science Analyst (Intern)","xentity corporation","Golden, CO",nan,nan,"NA",2,60.0,"NA"
"Junior Data Scientist - No C2C","Inspur","Bellevue, WA",nan,nan,"NA",7,51.6,"NA"
"Data Analyst","Wunderman","Seattle, WA",nan,nan,"NA",72,43.8,"NA"
"Data Scientist","Interactive Data","New York, NY 10279 (Financial District area)",nan,nan,"NA",39,40.8,"NA"
"Data Scientist","Logic20/20","Seattle, WA 98115 (Wedgwood area)",nan,nan,"NA",2,60.0,"MS / PhD in Machine Learning, Statistics, Computer Science, Data Mining, Math or any quantitative discipline preferred...."
"Data Scientist","Consultants 2 Go","Washington, DC",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","CICONIX","San Antonio, TX",nan,nan,"NA",nan,nan,"Our Data Scientist will; Facilitates the gathering and sharing of relevant intellectual knowledge, expertise and data with clinical and research groups within..."
"Data Scientist","INgrooves Music Group","Los Angeles, CA",nan,nan,"NA",nan,nan,"1 year of data extraction/transformation (e.g., coding with Python, Scala, Java, and analytics with R, SQL, Pandas, Hadoop, Hive, Spark), and visualization (ROC..."
"Data Scientist","Jo-Ann Fabric and Craft Stores","Hudson, OH",nan,nan,"NA",nan,42.0,"NA"
"Data Scientist","Amazon Corporate LLC","Cambridge, MA",nan,nan,"NA",nan,43.2,"As a Data Scientist in our Applied Modeling team, you will be responsible for data-driven improvements to our spoken language understanding models...."
"Data Scientist (People Analytics)","Genentech","South San Francisco, CA",nan,nan,"NA",471,51.6,"As a data scientist, you will join our team of data scientists, analysts, and engineers to conduct analyses and build processes and tools that delight and..."
"Data Sciencist Junior","HR Communications Manager","Greer, SC",nan,nan,"NA",nan,nan,"VIE - DATA SCIENTIST JUNIOR- USA (GREER). Contributing to collect and analyzing production data. Collecting and storing data within a new IT infrastructure...."
"Junior Quantitative Analyst","Mesirow Financial","Chicago, IL",nan,nan,"NA",20,51.6,"Support the SQL Server data repository, which may include documenting database architecture and develop routines to identify outliers and incomplete information..."
"Data Scientist","Humana","Louisville, KY",nan,nan,"NA",nan,43.2,"NA"
"Data Science Analyst, Consumer Products Goods Industry","Accenture","Chicago, IL",nan,nan,"NA",nan,51.0,"Accenture Analytics is a leader in Analytics, with deep industry and technical experience. We apply sophisticated algorithms, data engineering and visualization..."
"Data Scientist Intern","Intel","Santa Clara, CA 95052",nan,nan,"NA",nan,52.2,"Background in deep learning, machine learning & big data. Developing our Deep Learning framework. Cutting edge problems in applied AI and ML in one or more of..."
"Advanced Analytics Data Scientist","IBM","Washington, DC 20005 (Logan Circle area)",nan,nan,"NA",nan,51.0,"This position combines deep data and analytics skills with strong business acumen to solve business problems by understanding, preparing, and analyzing data to..."
"Data Scientist","Numentica LLC","Kennesaw, GA",nan,nan,"NA",nan,nan,"Analyze and model structured data and implement algorithms to support analysis using advanced statistical and mathematical methods from statistics, machine..."
"Statistician","Department of Defense","Alexandria, VA",nan,nan,"$94,796 - $123,234 a year",nan,52.8,"As the scientific expert and principal investigator within the assigned area of statistics, formulates objectives and assists other team members in linking..."
"Data Scientist - Safety","Uber","San Francisco, CA 94103 (South Of Market area)",nan,nan,"NA",222,44.4,"NA"
"Data Analyst","Microsoft","Redmond, WA 98052",nan,nan,"NA",nan,52.2,"Also includes stakeholder engagement and close collaboration with and leveraging efforts of data scientists, data engineers and other data analysts of the..."
"Data Scientist, Machine Learning","Virta Health","San Francisco, CA",nan,nan,"NA",nan,nan,"From patient health projections to medication management, machine learning drives our workflow and is critical in scaling our operation to 100 million people...."
"Scientist I - Data Science","National Renewable Energy Laboratory","Remote",nan,nan,"NA",40,43.8,"The employee will work with staff scientists on data science projects in the materials science domain. Interested candidates should have experience programming..."
"Statistical Data Analyst","Educational Testing Service (ETS)","Princeton, NJ 08541",nan,nan,"NA",180,51.0,"Statistics, mathematics, data analysis, statistical analysis, data processing, psychology. Experience with Microsoft Excel in performing basic data entry,..."
"Data Scientist","Hyperloop One","Los Angeles, CA",nan,nan,"NA",5,51.0,"The Data Scientist / Analyst will be part of the Machine Intelligence and Analytics team. Working knowledge in manipulating large datasets and performing data..."
"Data Scientist","eHealth","San Francisco, CA",nan,nan,"NA",57,44.4,"Licensed to market and sell health insurance in all 50 states and the District of Columbia, eHealthInsurance was responsible for the nation's first Internet..."
"Data Analysis","American Technical Services Inc","Rensselaer, NY",nan,nan,"$63 an hour",nan,nan,"NA"
"Data Scientist","TSheets","Boise, ID 83713 (West Valley area)",nan,nan,"NA",nan,nan,"Mentor other data scientists and data analysts. Apply data mining, machine learning, mathematical and statistical modeling that learns from and scales to..."
"Data Scientist II","Treverity, Inc","Houston, TX",nan,nan,"$80,000 - $90,000 a year",nan,nan,"Experience in Data Science and Machine Learning Methodologies. We have expanded from a data integration engine to a data analytics platform...."
"Data Scientist, Subject Matter Expert","TEM Software","Crystal City, VA",nan,nan,"$150,000 - $160,000 a year",nan,nan,"DITMAC has requested candidates for a Data Scientist Senior Subject Matter Expert with:. Data Scientist Senior Subject Matter Expert for the Defense Insider..."
