"jobtitle","company","location","longitude","latitude","salary","companysize","companyrating","summary"
"Data Science Associate","Brown University","Providence, RI",nan,nan,"NA",104,54.0,"NA"
"Product Manager, Waymo","Google","Mountain View, CA",nan,nan,"NA",nan,52.8,"NA"
"Analyst, Data and Analytics","VaynerMedia LLC","New York, NY",nan,nan,"NA",nan,nan,"NA"
"R&D Intern","Synopsys","Mountain View, CA 94043",nan,nan,"NA",87,51.6,"NA"
"Machine Learning Engineer/Data Scientist","Twitter","San Francisco, CA 94103 (South Of Market area)",nan,nan,"NA",39,51.6,"NA"
"Machine Learning Engineer","Adobe","San Jose, CA",nan,nan,"NA",320,52.2,"NA"
"Data Analytics Analyst","Global Tax Management, Inc.","Radnor, PA",nan,nan,"NA",nan,nan,"NA"
"Machine Learning Accelerator Architect","Google","Mountain View, CA",nan,nan,"NA",nan,52.8,"NA"
"Machine Learning Engineer","Oculus VR","Menlo Park, CA",nan,nan,"NA",nan,nan,"NA"
"Machine Learning Engineer","Interactive Data","New York, NY 10016 (Gramercy area)",nan,nan,"NA",39,40.8,"NA"
"Data Science Intern - Fall 2017","Interactive Data","New York, NY 10016 (Gramercy area)",nan,nan,"NA",39,40.8,"NA"
"Machine Learning A.I. Software Engineer","Applied Research Associates, Inc","Raleigh, NC 27615 (North area)",nan,nan,"NA",29,43.8,"NA"
"Data Scientist","6sense","San Francisco, CA",nan,nan,"NA",nan,nan,"NA"
"Data Science Analyst (Intern)","xentity corporation","Golden, CO",nan,nan,"NA",2,60.0,"NA"
"Data Scientist, Machine Learning","Human Longevity","Mountain View, CA",nan,nan,"NA",nan,nan,"NA"
"Research Scientist - Data Science","Educational Testing Service (ETS)","Princeton, NJ 08541",nan,nan,"NA",180,51.0,"NA"
"Research Intern (AI)","Facebook","Menlo Park, CA",nan,nan,"NA",185,52.2,"NA"
"Machine Learning Engineer","Dropbox","San Francisco, CA",nan,nan,"NA",15,44.4,"NA"
"Data Scientist","Rakuten Marketing","San Mateo, CA",nan,nan,"NA",3,51.0,"NA"
"Data Scientist","Under Armour Connected Fitness","San Francisco, CA",nan,nan,"NA",438,44.4,"NA"
"Research Scientist (Machine Learning)","NVIDIA","Westford, MA 01886",nan,nan,"NA",130,52.2,"Knowledge of common machine learning frameworks. We are passionate about deep learning, reinforcement learning, semi-supervised and unsupervised learning, but..."
"Machine Learning Researcher","Apple","Santa Clara Valley, CA",nan,nan,"NA",nan,52.2,"In-depth expertise in deep learning, statistical machine learning, computer vision, and algorithms. Our team pursues research & development in the areas of..."
"Data Scientist","RiverPoint","Overland Park, KS",nan,nan,"NA",6,43.8,"NA"
"Machine Learning Engineer - San Francisco","Sydney Mbachu","California",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","BP","Houston, TX",nan,nan,"NA",nan,51.0,"We are looking for a Data Scientist with a track record of delivery in data-driven modelling and analysis of Big Data, and experience with machine learning...."
"Data Science Intern","Centerfield Media","Los Angeles, CA",nan,nan,"NA",3,39.0,"Tune existing machine learning models to improve their accuracy or reduce run-time. Creative problem solving and constant learning. Data Science Intern...."
"NA","IDEXX Laboratories","Westbrook, ME 04092",nan,nan,"NA",198,42.6,"Boutique machine learning tools (TensorFlow, Theano, H2O Machine Learning). 3 years of experience with general machine learning (use to build AI systems)...."
"Junior Data Scientist","Phosphorus","New York, NY",nan,nan,"NA",nan,nan,"Previous practical experience applying statistical principles and machine learning algorithms to large datasets...."
"Data Scientist","Vanda Pharmaceuticals Inc.","Washington, DC 20037 (Foggy Bottom area)",nan,nan,"NA",nan,nan,"Strong practical knowledge of analytical techniques and methodologies such as machine learning/supervised and unsupervised techniques, segmentation, mix and..."
"Machine Learning Researcher Intern","Amazon Corporate LLC","Seattle, WA",nan,nan,"NA",nan,43.2,"Amazon has multiple positions available for Machine Learning Researcher Interns in Seattle, Palo Alto, Boston, New York, Pittsburgh, Los Angeles, Irvine, San..."
"Research Associate, Data","Innovations for Poverty Action","New Haven, CT",nan,nan,"NA",13,51.0,"Familiarity with machine learning and natural language processing. Reporting to Yale School of Management faculty members, the Research Associate is responsible..."
"Data Scientist / Machine Learning Engineer - Application & P...","Workday","San Francisco, CA 94105 (Financial District area)",nan,nan,"NA",28,44.4,"Welcome to Data Science Applications & Machine Learning Platform at Workday! In addition to projects, you will be able to learn from fellow top notch data..."
"Data Scientist, Machine Learning","Virta Health","San Francisco, CA",nan,nan,"NA",nan,nan,"Develop machine learning systems at high velocity & high quality with well-structured code. 2+ years of experience with using Python with data science & machine..."
"Deep Learning Engineer","HypeVR","San Diego, CA 92108",nan,nan,"NA",nan,nan,"You need to be knowledgeable in C++, and Computer Vision/Machine Learning/Deep Learning, familiarity with common CNN architecture (AlexNet, LeNet, GoogLeNet,..."
"Postdoc Positions in Medical Imaging (Machine Learning & Big...","University of Pennsylvania, Department of Radiolog...","Philadelphia, PA",nan,nan,"NA",525,52.2,"Ideal applicants should have a background on biomedical image analysis, computer vision, pattern recognition and/or machine learning...."
"Machine Learning Engineer","Fathom Health","San Francisco, CA",nan,nan,"NA",nan,nan,"As a Machine Learning Engineer you will:. Design and build customized, large-scale cloud-based machine learning systems...."
"Machine Learning Software Developer","Expedition Technology, Inc.","Dulles, VA 20166",nan,nan,"NA",nan,nan,"Expedition Technology Inc. (EXP) is seeking strong candidates from junior through senior levels , with knowledge of machine-learning, deep-learning if possible"
"Machine Learning Engineer","Nityo Infotech","Pennington, NJ",nan,nan,"$140,000 - $150,000 a year",nan,nan,"Machine learning techniques. Machine Learning Engineer Location:. Knowledge and expertise with machine learning techniques...."
"Machine Learning Engineer","Raytheon","El Segundo, CA",nan,nan,"NA",nan,51.0,"Ph.D in Engineering, Math, Computer Science, or Physics with emphasis in Machine Learning, 100984. The ideal candidate will be an engineer, mathematician or..."
"Data Scientist","Engineering Technology Associates, Inc.","Troy, MI 48083",nan,nan,"NA",4,55.8,"Predictive analytics including machine learning. In this role, you will support the development of optimization models by assembling data from a variety of..."
"Machine Learning Scientist","VoxelCloud","Los Angeles, CA",nan,nan,"NA",nan,nan,"Machine Learning Scientist*. The candidates should be proficient with at least one deep learning library (Caffe/Torch/TensorFlow)...."
"Software Engineer - Machine Learning","Business & Engineering Systems","Ashburn, VA 20147",nan,nan,"NA",nan,nan,"Experience with Machine Learning. We are looking for people with experience with TensorFlow, Microsoft Azure machine learning or other machine learning tools...."
"DATA SCIENTIST","Pantar Solutions","Los Angeles, CA",nan,nan,"NA",nan,nan,"Experience building Machine Learning models for classification and regression problems and evaluating its performance...."
"Data Scientist","Ativa Medical","Saint Paul, MN 55114 (Saint Anthony area)",nan,nan,"NA",nan,nan,"Solid background in statistics and machine learning. Develop and maintain statistical/machine learning models...."
"Data Scientist","Planet Risk","McLean, VA",nan,nan,"NA",nan,nan,"NA"
"Software Engineer, Machine Learning","Moveworks.ai","Mountain View, CA",nan,nan,"NA",nan,nan,"As a bonus, if you have some familiarity with deep learning algorithms and frameworks like TensorFlow, PyTorch, Keras, or Theano...."
"Director of Product Marketing, Machine Learning","ServiceNow","Santa Clara, CA 95054",nan,nan,"NA",45,43.8,"Director of Product Marketing, Machine Learning. Santa Clara, CA...."
"Machine Learning / Artificial Intelligence Scientist","Ford Motor Company","Dearborn, MI",nan,nan,"NA",nan,52.8,"NA"
"Data Scientist","TechMahindra","Irving, TX 75038",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","CATCH Intelligence","Topeka, KS",nan,nan,"NA",nan,nan,"NA"
"Data Scientist / Computer Vision","SFL Scientific","Boston, MA",nan,nan,"$85,000 - $140,000 a year",nan,nan,"NA"
"Data Scientist","Leap.ai","Santa Clara, CA",nan,nan,"NA",nan,nan,"NA"
"Bioinformatics Scientist, Scientific Computing","Amyris, Inc.","Emeryville, CA",nan,nan,"NA",nan,nan,"NA"
"DATA ANALYST/SCIENTIST","Hawes Group","Vancouver, WA",nan,nan,"NA",nan,nan,"NA"
"Cyber Data Scientist","University of Nebraska at Omaha","Omaha, NE",nan,nan,"$44,200 - $95,300 a year",42,44.4,"NA"
"Research Engineer - Machine Learning","Samsung Research America","Mountain View, CA 94043",nan,nan,"NA",nan,51.0,"NA"
"Data Analyst/Reporting Analyst","RiskMatch","Greenwich, CT",nan,nan,"NA",nan,nan,"NA"
"NA","Samsung Research America","Mountain View, CA 94043",nan,nan,"NA",nan,51.0,"NA"
"Lead Big Data Engineer (Machine & Deep Learning)","Disney Parks & Resorts","Lake Buena Vista, FL",nan,nan,"NA",nan,52.8,"NA"
"Data Analyst/Engineer/Scientist","Control Capital Group, LLC","Thousand Oaks, CA",nan,nan,"NA",nan,nan,"NA"
"Machine Learning Developer","Lirio","Knoxville, TN 37922",nan,nan,"NA",nan,nan,"NA"
"BIG DATA SCIENTIST / Machine Learning Scientist (W2 only)","Astir Technologies LLC","Los Angeles, CA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist - Journey Analytics","McKinsey & Company","Waltham, MA",nan,nan,"NA",273,52.8,"NA"
"Machine Learning Software Engineer","DECISIVE ANALYTICS Corporation","San Diego, CA",nan,nan,"NA",12,55.8,"NA"
"Machine Learning Fellow, Google Cloud, Professional Services","Google","Mountain View, CA",nan,nan,"NA",nan,52.8,"NA"
"Data Scientist","Hyperloop One","Los Angeles, CA",nan,nan,"NA",5,51.0,"NA"
"Data Scientist","Square","San Francisco, CA 94103 (South Of Market area)",nan,nan,"NA",28,44.4,"NA"
"NA","A9.com","Palo Alto, CA",nan,nan,"NA",2,54.0,"NA"
"Software Engineer - Big Data","Esri","Redlands, CA",nan,nan,"NA",72,44.4,"NA"
"Data Analytics Intern","AvalonBay Communities","Arlington, VA",nan,nan,"NA",198,44.4,"NA"
"Research Staff Member, Artificial Intelligence","IBM","United States",nan,nan,"NA",nan,51.0,"NA"
"Healthcare - Research Staff Member, Artificial Intelligence","IBM","United States",nan,nan,"NA",nan,51.0,"NA"
"Machine Learning Engineer","CodeFights","San Francisco, CA",nan,nan,"NA",nan,nan,"NA"
"Data Analyst, Trust and Safety","Google","Mountain View, CA",nan,nan,"NA",nan,52.8,"NA"
"Machine Learning Scientist","Microsoft","Redmond, WA 98052",nan,nan,"NA",nan,52.2,"We are looking for someone with experience in applied machine learning and a desire to ship machine learning solutions to customers...."
"Staff Computer Vision Scientist","General Electric","Boston, MA 02212 (Central area)",nan,nan,"NA",nan,51.6,"Computer Vision, Artificial Intelligence, or Machine Learning. Investigate and apply image analytics and machine learning...."
"Advanced Analyst/Data Scientist","Magid","Los Angeles, CA",nan,nan,"NA",nan,nan,"NA"
"Applications Data Analyst","10x Genomics","Pleasanton, CA 94566",nan,nan,"NA",nan,nan,"Experience with machine learning or neural networks. 10x Genomics is looking for an outstanding scientist to join its Applications Development group...."
"Machine Learning Data Scientist II","American Family Insurance","Chicago, IL",nan,nan,"NA",706,43.2,"R3089 Machine Learning Data Scientist II (Open). Identifies, leverages and develops expertise in emerging technologies, open source tools, and harnesses new..."
"Analyst/R Programmer/Data Scientist","Frank N. Magid Associates, Inc.","Los Angeles, CA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","TSheets","Boise, ID 83713 (West Valley area)",nan,nan,"NA",nan,nan,"Does the thought of running data through machine learning or statistical models to produce actionable insights instantly put a smile on your face?..."
"Artificial Intelligence (AI)/ Machine Learning (ML) IT Resea...","UBS","Weehawken, NJ",nan,nan,"NA",nan,44.4,"Background in Machine Learning and Statistics / data science, experience in toolsets like Python/R, development/rapid prototyping and UX a plus...."
"Data Scientist","PulsePoint","New York, NY",nan,nan,"NA",8,43.8,"Machine Learning competition experience. Or BS with several years of applied machine learning experience. Active Research interest in modern natural language..."
"Data Scientist","Saylent Technologies Inc","Boston, MA 02116 (South End area)",nan,nan,"NA",nan,nan,"NA"
"Machine learning and Data Analytics Research Engineers","ABB","San Jose, CA 95134 (North San Jose area)",nan,nan,"NA",nan,51.6,"Motion planning, modeling, simulation and control for mechanical systems and machines. Our R&D center in San Jose, CA, with focus on technology and product..."
"Data Science Internship Fall 2017","Crisis Text Line","New York, NY",nan,nan,"NA",24,56.4,"Natural language processing, machine learning, or another form of statistical programming. A successful candidate will possess strong skills in statistical..."
"Data Analytics Consultant","Cascade Data Labs","Portland, OR",nan,nan,"NA",nan,nan,"Familiarity with machine learning techniques and libraries along with the ability to appropriately apply them to various business questions...."
"Data Scientist","pymetrics","New York, NY",nan,nan,"NA",2,51.0,"Machine learning, predictive modeling, statistical inference, experimental design, data mining, and optimization...."
"Software Engineer (Machine Learning)","Topcon","Oakland, NJ",nan,nan,"NA",11,52.2,"Hands-on experience with machine learning and deep learning required, especially in image classification and object detection and localization...."
"Scientific Data Analyst","Zel Technologies","Patrick Afb, FL",nan,nan,"NA",18,52.2,"Selecting features, building and optimizing classifiers using machine learning techniques. Excellent understanding of machine learning techniques and algorithms..."
"Computer Scientist/Controls Engineer","UHV Technologies, Inc.","Fort Worth, TX",nan,nan,"NA",nan,nan,"A strong statistical understanding of modern Machine Learning with fundamental understanding of AI concepts SVM, Bayesian Networks, Minimax, constraint..."
"Deep Learning Content Creator, NVIDIA Deep Learning Institut...","NVIDIA","Santa Clara, CA",nan,nan,"NA",130,52.2,"4+ years of experience with Machine Learning or Deep Learning desirable. You will train and certify instructors to guide deep learning content worldwide...."
"Data Scientist","W.D. Von Gonten Laboratories, LLC","Houston, TX",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","First Orion","Little Rock, AR",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","BuzzFeed","New York, NY",nan,nan,"NA",7,44.4,"NA"
"Physiological Data Analyst","NA","Chicago, IL",nan,nan,"NA",88,52.8,"NA"
"Salesforce Solution Engineer","DigitalGenius","San Francisco, CA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist Specialist","Accenture","San Francisco, CA 94105 (Financial District area)",nan,nan,"NA",nan,51.0,"NA"
"Machine Learning Engineer (Recommendation/Text/Deep Learning...","Casetext","San Francisco, CA",nan,nan,"NA",nan,nan,"NA"
"Data Science Engineer","Razer USA, Ltd.","San Francisco, CA",nan,nan,"NA",nan,nan,"NA"
"Python Developer","Spring Venture Group","Kansas City, MO",nan,nan,"NA",23,54.6,"NA"
"Software Engineer, Data Products","Square","San Francisco, CA 94103 (South Of Market area)",nan,nan,"NA",28,44.4,"Experience with common data and analytics practices, such as data modeling and machine learning. The Central Data team provides tools to help all employees at..."
"Complex Systems Data Mining Intern","Philips Lighting","Cambridge, MA",nan,nan,"NA",74,51.6,"Data analytics, machine learning, process modeling, data mining, process mining, optimization theory. Data cleaning, running machine learning and process mining..."
"Machine Learning Software Engineer","Xilinx","San Jose, CA 95124 (Cambrian Park area)",nan,nan,"NA",69,44.4,"You will be in a team that is architecting future silicon and software for solving web-scale class machine learning technology through to power-efficient..."
"Applied Research Scientist (Deep Learning Algorithms)","NVIDIA","Santa Clara, CA",nan,nan,"NA",130,52.2,"You will collaborate closely with multiple teams our multi-functional environment on development new software libraries for artificial intelligence, deep..."
"Machine Learning Scientist, Amazon Echo","Amazon Corporate LLC","Pittsburgh, PA",nan,nan,"NA",nan,43.2,"Solid Machine Learning background and familiar with standard speech and machine learning techniques. Amazon is looking for a passionate, talented, and inventive..."
"Machine Learning Engineer","Cisco","San Jose, CA",nan,nan,"NA",nan,51.6,"NA"
"Data Analyst","AdTheorent","Butler, PA",nan,nan,"NA",nan,nan,"AdTheorent's machine learning, tracking and deep linking technologies combine to maximize engagement and awareness for advertisers...."
"Machine Learning Researcher","ARM Ltd.","Austin, TX",nan,nan,"NA",nan,nan,"Conduct research on efficient machine learning methods - supervised learning, unsupervised, reinforcement, and/or deep learning...."
"Junior Data Scientist","Macmillan","New York, NY 10010 (Gramercy area)",nan,nan,"NA",41,51.0,"Knowledge of machine learning or advanced statistics a plus. Already have, but will also receive training on techniques in big data and machine learning...."
"Junior Data Scientist - No C2C","Inspur","Bellevue, WA",nan,nan,"NA",7,51.6,"Analysis of large amount of user data and use machine learning methodologies to correct and enrich the data...."
"Deep Learning Computational Graph Engineer_Intern","Intel","San Diego, CA 92129",nan,nan,"NA",nan,52.2,"Making a variety of machine learning hardware platforms more efficient and easier to use. Experience with one or more deep learning frameworks such as neon,..."
"Data Scientist","REAN Cloud Services","Herndon, VA",nan,nan,"NA",nan,nan,"Experience developing machine learning solutions. REAN Cloud is a Premier Amazon Web Services Provider and has grown over 500% in the past year and a half...."
"Data Scientist","Conversica","Seattle, WA 98104 (First Hill area)",nan,nan,"NA",4,43.8,"Degree in a quantitative discipline such as Predictive Analytics, Statistics, Mathematics, or Computer Science with coursework in Machine Learning, Deep..."
"Machine Learning Engineer","imo.im","Palo Alto, CA 94306 (Barron Park area)",nan,nan,"NA",nan,nan,"We are currently seeking machine learning engineers who are interested in working directly with our company founder and CEO building out and developing our..."
"Data Scientist","Quantifind","Menlo Park, CA",nan,nan,"NA",nan,nan,"Machine learning algorithms such as Random Forest, Boosting, SVMs. In-depth knowledge of Statistics/Probability/Machine learning...."
"Data Manager","Cary Institute of Ecosystem Studies","Millbrook, NY",nan,nan,"NA",2,54.0,"Proficiency with, and interest in, implementing various machine learning algorithms is required. We are seeking a full time data and laboratory manager to..."
"Machine Learning Engineer","Freenome","South San Francisco, CA",nan,nan,"NA",nan,nan,"3+ years of experience and proficiency with a machine learning research loop:. Using machine learning tools, you will work with a multidisciplinary team of..."
"Data Scientist","NA","Chicago, IL",nan,nan,"NA",88,52.8,"Additional knowledge of statistical and machine learning tools preferred (such as R, SAS, ScikitLearn, etc.)...."
"Data Scientist","Park Computer Systems, Inc.","Carlsbad, CA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Glooko","Mountain View, CA 94041",nan,nan,"NA",nan,nan,"NA"
"Research Engineer, Computer Vision & Deep Learning","CCC Information Services Inc.","Chicago, IL 60654 (Loop area)",nan,nan,"NA",41,43.8,"NA"
"Machine Learning Engineer","Amazon Web Services, Inc.","Seattle, WA",nan,nan,"NA",nan,43.2,"NA"
"Data Scientist","Corning","Corning, NY 14830",nan,nan,"NA",299,51.0,"NA"
"Data Scientist","OutMatch","Dallas, TX 75251 (North Dallas area)",nan,nan,"NA",nan,nan,"NA"
"Machine Learning Engineer","Toyota Research Institute","Los Altos, CA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Fanatics Inc.","San Mateo, CA",nan,nan,"NA",245,43.2,"NA"
"Software Engineer (Deep Learning)","Magic Leap, Inc.","Sunnyvale, CA",nan,nan,"NA",7,52.8,"NA"
"Data Scientist","Tenor","San Francisco, CA",nan,nan,"NA",3,55.2,"NA"
"Data Scientist","Hewlett Packard Enterprise","Santa Clara, CA",nan,nan,"NA",nan,43.8,"NA"
"Machine Learning/Deep Learning Engineer","SKIP","New York, NY",nan,nan,"NA",10,51.0,"NA"
"Machine Learning","Argo AI","Pittsburgh, PA",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Microsoft","Redmond, WA 98052",nan,nan,"NA",nan,52.2,"NA"
"Machine Learning Engineer","Entefy Inc.","Palo Alto, CA",nan,nan,"NA",nan,nan,"NA"
"Software Engineer","VizExplorer","San Diego, CA",nan,nan,"NA",nan,nan,"NA"
"Software Engineer","AdTheorent","Butler, PA",nan,nan,"NA",nan,nan,"NA"
"Machine Learning Engineer","Lawrence Livermore National Laboratory (LLNL)","Livermore, CA 94550",nan,nan,"NA",80,52.2,"NA"
"Machine Learning Software Engineer","Health at Scale Corporation","Palo Alto, CA",nan,nan,"NA",nan,nan,"Strong understanding of the foundational concepts of machine learning. 3+ years of experience implementing data analytics and machine learning at scale...."
"Machine Learning and AI Engineer","MORSE Corp","Cambridge, MA",nan,nan,"NA",nan,nan,"As an ML/AI Engineer at MORSE, you will work with our multidisciplinary team of scientists, engineers, and software developers to design and implement machine..."
"Research Scientist - Software","Physical Optics Corporation","Torrance, CA",nan,nan,"NA",4,40.8,"Deep learning, machine learning, and/or cyber security, theories, principles, practices, models, algorithms, and current research...."
"Data Scientist","Vizient, Inc.","Chicago, IL 60606 (Loop area)",nan,nan,"NA",36,52.2,"Serves as the resident data expert and share best practices/approaches for statistics, machine learning techniques, data modeling, simulation and advanced..."
"Software Engineer - Big Data","1904labs","St. Louis, MO",nan,nan,"NA",nan,nan,"Software Engineer - Big Data 1904Labs is hiring a new team to develop cutting edge software for a Fraud decision management platform. We are hiring a team of"
"Large-Scale Reinforcement Learning Engineer","OpenAI","San Francisco, CA",nan,nan,"NA",nan,nan,"Experience implementing high-performance machine learning or scientific computing systems, or experience with machine learning and reinforcement learning, are a..."
"Machine Learning Applied Research Scientist","Adobe","San Jose, CA",nan,nan,"NA",320,52.2,"Build machine learning platform using technologies such as REST web services, micro-services, machine learning frameworks, Caffe, Tensorflow, Spark, Elastic,..."
"Research Associate","University of Virginia","Charlottesville, VA",nan,nan,"NA",169,52.2,"For Thomas Jefferson, learning was an integral part of life. Exploratory and confirmatory factor analysis, network modeling and machine learning/data mining...."
"Data Scientist","Pluralsight","Boston, MA",nan,nan,"NA",3,60.0,"You have a strong foundation in Statistics and some experience applying Machine Learning algorithms. Ideally a minimum of 3 years in a data science role,..."
"Software Engineer","Phosphorus","New York, NY",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Teaching Strategies, LLC","Bethesda, MD 20814",nan,nan,"NA",nan,nan,"NA"
"Data Scientist","Oak Ridge Associated Universities","Washington, DC",nan,nan,"NA",20,43.8,"NA"
"Junior Data Scientist","The Boston Consulting Group","New York, NY 10022 (Midtown area)",nan,nan,"NA",141,52.2,"NA"
"Data Scientist","TrueCar, Inc.","Santa Monica, CA",nan,nan,"NA",9,40.2,"NA"
"Data Scientist","Navstar, Inc.","Reston, VA 20191",nan,nan,"NA",2,60.0,"NA"
"Engineer Platform Scientist/Architect","IBM","San Jose, CA",nan,nan,"NA",nan,51.0,"NA"
